"a1.date","a1.doy","a1.r.av","a1.g.av","a1.b.av","a1.r.sd","a1.g.sd","a1.b.sd","a1.bri.av","a1.bri.sd","a1.gi.av","a1.gi.sd","a1.gei.av","a1.gei.sd","a1.ri.av","a1.ri.sd","a1.bi.av","a1.bi.sd","b1.date","b1.doy","b1.r.av","b1.g.av","b1.b.av","b1.r.sd","b1.g.sd","b1.b.sd","b1.bri.av","b1.bri.sd","b1.gi.av","b1.gi.sd","b1.gei.av","b1.gei.sd","b1.ri.av","b1.ri.sd","b1.bi.av","b1.bi.sd","c1.date","c1.doy","c1.r.av","c1.g.av","c1.b.av","c1.r.sd","c1.g.sd","c1.b.sd","c1.bri.av","c1.bri.sd","c1.gi.av","c1.gi.sd","c1.gei.av","c1.gei.sd","c1.ri.av","c1.ri.sd","c1.bi.av","c1.bi.sd"
"1",2015-07-15 11:31:00,196,160.462110217578,125.267052536325,67.0714086519035,25.0613171866431,20.4184897021312,19.9407208064546,352.800571405806,64.4254866440793,0.356565944473694,0.0135774109227878,23.0005862031678,11.4105827451589,0.457525505173435,0.0215368688077502,0.185908550352871,0.0258553197385402,2015-07-15 11:31:00,196,161.649649288557,125.839783560938,67.0627386985027,28.1514792455815,24.3629948602884,23.4339781936984,354.552171547997,74.8059152425421,0.356519171880239,0.0139389081317752,22.9671791348163,11.5669313128169,0.460315499555002,0.0278593133126524,0.183165328564759,0.0323686697365931,2015-07-15 11:31:00,196,151.332006663814,119.751473807971,63.0044370032779,28.9055398714437,24.5154477553828,23.2476308576321,334.087917475063,75.5570480525059,0.360648244094976,0.0157019259112433,25.1665039488498,10.9367440634959,0.457516605980645,0.0277063699293557,0.18183514992438,0.0345372080508104
"2",2015-07-15 12:01:00,196,148.114360839352,119.118526865748,63.0796154962523,22.5342184985963,18.645063514234,18.6626592950182,330.312503201352,58.9297051649666,0.362293077901583,0.0146424779132921,27.043077395892,11.0579374704414,0.450972991913868,0.0205970934831174,0.186733930184549,0.0263706789550486,2015-07-15 12:01:00,196,153.668928397607,123.034876463683,65.6326719917547,25.9048205887559,22.5008247188151,22.1210064135331,342.336476853045,69.5338140119641,0.361180084115329,0.0147393144393433,26.7681525380057,11.426624894949,0.452737813575122,0.0255607794345137,0.186082102309549,0.0311108227340324,2015-07-15 12:01:00,196,147.396405528805,119.875996560076,63.3506769753597,28.5608042496919,24.3389849863537,23.164894672118,330.623079064241,75.1273708425864,0.365100368774575,0.0167782524145208,29.0049106159873,10.8924013692887,0.450035590787894,0.0254481870094093,0.184864040437531,0.0337513349694532
"3",2015-07-15 12:31:00,196,175.860210464011,134.091749332696,74.7338239227805,25.8114481252316,20.7347580088658,20.0846925973946,384.685783719488,65.5412134137725,0.349685466786513,0.0116607351182574,17.5894642786002,11.2979910546337,0.459385004253612,0.0199573711275386,0.190929528959874,0.0222742922136484,2015-07-15 12:31:00,196,166.987580520484,127.780560565719,70.7469609779839,28.1009810556417,23.6765751333491,22.6928186109825,365.515102064187,73.3073907010935,0.350895195004372,0.0123494284192634,17.8265796329697,10.9974278745565,0.46049286081956,0.0256768769644603,0.188611944176068,0.0284253964898446,2015-07-15 12:31:00,196,135.36151605921,107.1134468619,59.5413019364113,32.9134579872259,28.8060019434225,28.27509956551,302.016264857522,87.4397432952732,0.356469291294233,0.027431855405742,19.3240757281795,10.9552180021881,0.454495898340084,0.0411431846476394,0.189034810365683,0.042927948189253
"4",2015-07-15 13:01:00,196,160.875303772758,123.332297518027,68.3213360879191,24.6459950735561,19.7955670112086,19.0123338977519,352.528937378704,62.4768846247512,0.351071236205191,0.011905932547774,17.4679551753772,10.3897903771768,0.458688356607136,0.0200862193511504,0.190240407187673,0.0229695304280741,2015-07-15 13:01:00,196,166.033313292679,127.451911019497,70.9688568238427,27.4723666247292,23.3734519332849,22.5722022659291,364.454081136019,72.3661766461827,0.350990386764797,0.0121571398017584,17.9016519224713,10.8184055506855,0.459190671245424,0.0250576173867479,0.189818941989779,0.0280242870492194,2015-07-15 13:01:00,196,160.351042571135,125.308841186026,70.0696958492416,29.1773675969054,24.1911343905962,22.620993275791,355.729579606403,74.9521636508726,0.353894293764895,0.0128646759374158,20.1969439516749,10.2232800148889,0.454097456453607,0.0232976603848635,0.192008249781498,0.0275391200999987
"5",2015-07-15 13:31:00,196,142.446094919383,118.599492336674,65.0380292190977,22.2827462423001,18.7023844728994,18.8525904625108,326.083616475155,59.0011228929412,0.365512925827326,0.015020214133715,29.7148605348677,10.7722854667306,0.439207286246967,0.0192315374233542,0.195279787925708,0.0256078157336751,2015-07-15 13:31:00,196,149.037292793953,123.603727561625,68.5318274213404,25.6952201331856,22.5704214899687,22.3546613268451,341.172847776919,69.6999667815311,0.364218052157211,0.0151205001169416,29.6383349079561,11.2936710168849,0.440330324435974,0.0236375336520495,0.195451623406815,0.0297538771950972,2015-07-15 13:31:00,196,143.81266540093,121.20691059106,66.8652862656469,28.3949456407462,24.5398761160644,23.6339185260307,331.884862257637,75.688216206622,0.367915303570644,0.0174276198524124,31.7358695155441,10.9115060789864,0.437110805675852,0.0234556314667814,0.194973890753504,0.0325687733752741
"6",2015-07-15 14:01:00,196,140.006522221653,110.818555891342,55.2987587290205,25.9027420919902,21.6596500735233,20.8702307452694,306.123836842015,67.4413223928176,0.364440142533311,0.0172164289801419,26.3318308320101,11.0509790032163,0.461848853707768,0.0277543421565251,0.173711003758921,0.0356840952982387,2015-07-15 14:01:00,196,148.187523261473,117.316086919179,60.1034441295199,29.3603145766363,25.763502859681,24.6677989390167,325.607054310172,78.7201820694849,0.362710416403276,0.0168701614228911,26.3412064473647,11.5628346508432,0.461260082107822,0.0332172400053267,0.176029501488902,0.0401371068355655,2015-07-15 14:01:00,196,147.244903470252,118.839997839661,61.637599032833,31.0010839197589,26.6972289393491,25.1970938418092,327.722500342746,81.9329803380205,0.365596115267203,0.0179615173484872,28.7974931762379,11.0079464173585,0.454894837694866,0.0297610941347545,0.179509047037931,0.0390713148427799
"7",2015-07-15 14:31:00,196,146.563096518636,111.504533114788,57.7061699306231,24.4752396000401,20.0670893835776,19.3226078895264,315.773799564047,62.9023794177325,0.354747815217227,0.0141132052033952,18.7397997803161,10.5885453197614,0.467818606069466,0.0255825200016527,0.177433578713307,0.030087030887661,2015-07-15 14:31:00,196,158.741670245355,120.572933665436,63.6446162214779,29.0451751289385,25.2021153821957,24.1047823565552,342.959220132268,77.2752735962813,0.353152631438935,0.01379070508331,18.7595808640385,11.1329330505531,0.468386868405564,0.0320166903482795,0.178460500155501,0.0357362818684787,2015-07-15 14:31:00,196,164.800314080007,127.132943918439,68.4103646402413,30.7469438966332,25.9764076150757,24.4955841433074,360.343622638688,80.0994740867087,0.354580252074337,0.0137503455873227,21.0552091166292,11.0752106454532,0.4618086612704,0.0277059275540311,0.183611086655263,0.0322100032783154
"8",2015-07-15 15:01:00,196,146.591165975175,112.151536364516,56.0164649103337,26.6857491329666,22.53332278382,21.6055456962858,314.759167250024,69.8492999894074,0.358321841419613,0.0157189718777925,21.6954418435236,11.2025761817585,0.470916846488662,0.0306064612216739,0.170761312091726,0.0363542621348891,2015-07-15 15:01:00,196,158.639102178705,121.451790775573,62.5997537862521,31.8775540826322,28.2871497654358,26.9187256462115,342.690646740531,86.0039422674467,0.356375910289497,0.0156045143587797,21.6647255861891,11.7984402549018,0.47046851099273,0.0379636494235374,0.173155578717773,0.0425250090502015,2015-07-15 15:01:00,196,162.613606810052,126.864397203192,66.928974711574,33.1844970770053,28.672478962682,26.9918064962839,356.406978724819,87.7378824935381,0.358204471185818,0.0154652223398249,24.1862128847584,11.4431616243448,0.462247211661829,0.0322552825609061,0.179548317152354,0.0381654822936791
"9",2015-07-15 15:31:00,196,149.110672881558,113.374925301781,55.4772832044256,27.1889918389702,23.0947310286982,22.0358848168591,317.962881387765,71.3028067647959,0.358564167115095,0.0159827177870365,22.1618945175776,11.5133965668313,0.474534516294189,0.0320758483688918,0.166901316590716,0.0377219691363776,2015-07-15 15:31:00,196,160.391348163417,121.9881760142,61.6602937387271,32.8587281998739,29.307533522483,27.7315636582159,344.039817916345,88.7810680233194,0.356565042431701,0.0161488365341653,21.9247101262561,12.2131409936425,0.474529592026511,0.0402891581782317,0.168905365541788,0.0446432697119502,2015-07-15 15:31:00,196,164.158352824851,127.256590071582,65.8697980498789,34.31269570321,29.8082566096905,27.9065619954038,357.284740946311,90.8823334559097,0.358497696831514,0.0158578482662736,24.4850292684345,11.7131859986139,0.466210891014876,0.0346114209220644,0.17529141215361,0.0405021260378891
"10",2015-07-15 16:01:00,196,143.39273904853,111.993807873335,55.5845356189566,26.8768573038225,23.0190908361686,21.8380745672214,310.971082540821,70.7102279535005,0.362318614150878,0.0166748653570175,25.010341079183,11.5576643731929,0.466479352032095,0.0310217333524136,0.171202033817026,0.0374644426529647,2015-07-15 16:01:00,196,155.227054882762,120.661066735377,61.7098113315583,32.5328285540345,29.3062764524825,27.562867214046,337.597932949698,88.3075147607626,0.35957467725642,0.0165610975491278,24.3852672564345,12.2275452206581,0.468069574127479,0.0396335933085935,0.172355748616101,0.0448012371983729,2015-07-15 16:01:00,196,158.754627071536,125.34640615198,65.4059650274405,33.8571387770296,29.7634426087931,27.8276700652194,349.506998250957,90.3567181998132,0.361113350043296,0.0162876221528763,26.5322202049829,11.6357183789792,0.461089081833028,0.0345487104687792,0.177797568123677,0.0410970051948779
