"a.date","a.doy","a.r.av","a.g.av","a.b.av","a.r.sd","a.g.sd","a.b.sd","a.bri.av","a.bri.sd","a.gi.av","a.gi.sd","a.gei.av","a.gei.sd","a.ri.av","a.ri.sd","a.bi.av","a.bi.sd","b.date","b.doy","b.r.av","b.g.av","b.b.av","b.r.sd","b.g.sd","b.b.sd","b.bri.av","b.bri.sd","b.gi.av","b.gi.sd","b.gei.av","b.gei.sd","b.ri.av","b.ri.sd","b.bi.av","b.bi.sd","c.date","c.doy","c.r.av","c.g.av","c.b.av","c.r.sd","c.g.sd","c.b.sd","c.bri.av","c.bri.sd","c.gi.av","c.gi.sd","c.gei.av","c.gei.sd","c.ri.av","c.ri.sd","c.bi.av","c.bi.sd"
"11",2013-04-21 08:00:00,111,158.208490805864,157.209592407423,160.275044487755,4.76677814193414,4.96583297791568,5.14057571288384,475.693127701042,14.6542210489307,0.330482761324333,0.0018730749443735,-4.06435047877299,2.67553266463417,0.332595211365173,0.00146592899977669,0.336922027310493,0.00202393973444331,2013-04-21 08:00:00,111,167.208463228371,166.310921644523,169.354890678941,3.3454960496626,3.47520347261688,3.75230133851253,502.874275551836,10.2476347907857,0.330722231628546,0.00182751872620513,-3.94151061826551,2.75505522328611,0.332511095052243,0.00142721707014419,0.336766673319212,0.00196927174806483,2013-04-21 08:00:00,111,167.199181799351,165.910222329628,169.116196575295,3.10641342369208,3.22166972801369,3.41720852696042,502.225600704274,9.37457859114778,0.330350355804505,0.00182692239079525,-4.49493371539046,2.75390636991072,0.332920530504088,0.00152495987057867,0.336729113691407,0.0019699547353015
"12",2013-04-21 12:00:00,111,156.570273705618,155.436386746886,157.544157274807,3.98904901379169,4.25884906564541,4.34574535006659,469.550817727311,12.3333421781574,0.331027289305163,0.0018565870288158,-3.24165748665367,2.60916888789717,0.333457744982441,0.00164373021788098,0.335514965712397,0.00198977307331201,2013-04-21 12:00:00,111,164.796851135056,163.722680196673,165.67758133696,3.27042616308624,3.39196085141523,3.67454147313198,494.197112668689,9.97492174065504,0.331291841310058,0.00186165189100832,-3.02907207866932,2.75990418182206,0.333470307891743,0.00167735871380451,0.335237850798199,0.00202678712492966,2013-04-21 12:00:00,111,166.568450942484,165.320694952703,167.183810329352,2.91387634061682,2.99232298645588,3.30456117447713,499.072956224539,8.78199677635279,0.33125824549446,0.00193966651386445,-3.11087136642961,2.9037087837722,0.333760710066898,0.00170576556656706,0.334981044438643,0.00200074913630706
"13",2013-04-21 16:00:00,111,148.812287094314,150.190610965172,150.985119905093,4.0494345706473,4.1403607231022,4.40339502249863,449.988017964579,12.300423946796,0.333769781823726,0.00201948641705633,0.583814930938056,2.72217853383784,0.330708773536092,0.00179342015517722,0.335521444640182,0.00223219146962665,2013-04-21 16:00:00,111,156.787781148656,158.714907417094,159.091170624542,5.06996001344017,5.28379119298483,5.45772848707185,474.593859190292,15.4751216421473,0.334422891374585,0.00228127230054964,1.55086306098964,3.24826678503376,0.330372224215554,0.00219207855298043,0.335204884409861,0.00240733444989628,2013-04-21 16:00:00,111,161.772362424912,163.698672581647,163.672538493406,4.88900568530539,4.94177691642513,5.25157703274623,489.143573499965,14.6924096108747,0.334670213456001,0.00230704035134642,1.95244424497687,3.37374666972643,0.33073163166825,0.00224247215585151,0.334598154875749,0.00248703603363247
"14",2013-04-21 20:00:00,111,30.7073637827303,26.3362426912973,32.0468773832726,5.02418064973917,4.44861011331477,5.52525514922777,89.0904838573002,13.6838633868554,0.295890090638527,0.0240611137850088,-10.0817557834082,6.63707793434401,0.344731862015062,0.0208457824373284,0.359378047346411,0.0245473660351865,2013-04-21 20:00:00,111,33.0664295428392,28.8711371482373,35.2277016424312,5.23154780053884,4.75561927302998,5.85980346207609,97.1652683335077,14.5238994610681,0.297308992857638,0.0226438991007701,-10.5518568887959,6.80468994929771,0.340374635889822,0.0191760680807472,0.36231637125254,0.0238087916540259,2013-04-21 20:00:00,111,34.2306324656494,29.6637609611268,36.3689498032176,5.23178527032669,4.6556660933039,5.88409708730693,100.263343229994,14.3545277187266,0.296169900089475,0.0229864966627383,-11.2720603466133,7.15958646566898,0.341427955830127,0.0190096682014675,0.362402144080398,0.0233666430239182
"15",2013-04-22 08:00:00,112,154.895483433607,153.416354546225,160.39025506313,6.13812998047676,6.05718743785929,7.10547729217958,468.702093042962,19.1367658073193,0.327344524538262,0.0018238125369841,-8.45302940428777,2.70805370341606,0.330496268470974,0.00136388104783231,0.342159206990763,0.00244150514039719,2013-04-22 08:00:00,112,168.518160895491,166.56678522858,174.153520242703,4.67627157584371,4.84376753717893,5.15632056639726,509.238466366775,14.3988666744228,0.327087542457806,0.00184917601961599,-9.53811068103358,2.81282124039079,0.33093019043009,0.0014433659949606,0.341982267112103,0.00228406019554575,2013-04-22 08:00:00,112,168.902307878202,166.618190292067,174.296520057999,4.18934368073709,4.24723525299791,4.64065537263789,509.817018228268,12.7898498612839,0.326820835215886,0.0017427659635268,-9.96244735206794,2.67950592855665,0.331305265240102,0.00139880806511633,0.341873899544012,0.00219717931842586
"16",2013-04-22 12:00:00,112,158.250877044318,158.582560799932,160.652758240827,4.4136063647378,4.64226138037625,4.81337770191578,477.486196085078,13.6505060820358,0.332117918694902,0.00178557471244275,-1.73851368528091,2.55511588241472,0.331435412577649,0.00155349877803431,0.336446668727449,0.0018643661352239,2013-04-22 12:00:00,112,166.468553195941,167.049858771838,168.928821006381,4.32527692674318,4.42898184765514,4.73366844694768,502.44723297416,13.2594780557261,0.332475394390363,0.00164307320991337,-1.2976566586463,2.46776872224957,0.331323315737521,0.00161330862293468,0.336201289872116,0.00177138727159558,2013-04-22 12:00:00,112,169.685208520334,170.046925706,171.842582683146,3.39840460089052,3.3363551870596,3.67565006075569,511.57471690948,10.1532890912546,0.332404018963378,0.00152737982059279,-1.43393979147967,2.33861077593583,0.331693682937357,0.00138652894719724,0.335902298099265,0.00165845101891422
"17",2013-04-22 16:00:00,112,157.189017879841,157.78952631133,158.141801542242,4.30917548370549,4.66275935246554,4.84904759728896,473.120345733412,13.5094119156564,0.333505040778484,0.00207216591207414,0.248233200576222,2.944101996451,0.332254739262986,0.00180519337537323,0.334240219958529,0.00240243585569406,2013-04-22 16:00:00,112,165.450088921435,166.209436133487,166.082958468459,4.78771693611673,5.05263292387314,5.50185886646178,497.742483523381,15.053954501876,0.333930567014193,0.00194381388530537,0.885824877079192,2.89380742673997,0.332419590888574,0.00184084018187155,0.333649842097233,0.00240418638564704,2013-04-22 16:00:00,112,169.007879928192,169.454213560726,169.472200165712,3.73698548403511,3.76807858972403,4.20542484597663,507.93429365463,11.3741284535113,0.333620538248958,0.0018079715026149,0.428347027549541,2.74715378731001,0.332742303062205,0.00168735017854415,0.333637158688837,0.00212724790165589
"18",2013-04-22 20:00:00,112,31.0526735022456,26.6867045165664,32.1673078552665,4.96140328130508,4.39873445635503,5.5332245641424,89.9066858740785,13.5119858389314,0.297170486629802,0.0240612623412515,-9.84657232437929,6.70922709476648,0.345517483801022,0.0216151346719519,0.357312029569177,0.0247194349776083,2013-04-22 20:00:00,112,33.2978554242076,29.3909300135997,35.2244690867246,5.20084781204105,4.73605315230552,5.92226701310073,97.9132545245319,14.5256840976318,0.300447168275839,0.0224181809312406,-9.74046448373261,6.75562697958973,0.340197770095574,0.0194430583966828,0.359355061628587,0.0238813816470773,2013-04-22 20:00:00,112,34.6244735206794,30.4267934820134,36.7434405855141,5.24967193842241,4.73438069878275,5.98145486985163,101.794707588207,14.5245745626359,0.299215707353485,0.022791905145846,-10.5143271421667,7.19374246603486,0.340204995615213,0.0190448276094502,0.360579297031302,0.0236633272968889
"19",2013-04-23 08:00:00,113,159.300466062198,160.82584526735,163.125718159478,6.21727421225074,6.4358775939915,6.55548615515857,483.252029489026,18.9695428030518,0.332795738765736,0.00212068538614001,-0.77449368697568,3.0741007025023,0.329653219351215,0.00218256908706123,0.337551041883049,0.00196103500270246,2013-04-23 08:00:00,113,165.902657181714,167.755141751229,169.937838686055,6.98942611264862,7.10580988769714,7.24536504990783,503.595637618998,21.1200646754891,0.333114806389807,0.00201566573761143,-0.330212365310179,3.04205811811007,0.329442586385544,0.00229902822206667,0.33744260722465,0.0017611276285224,2013-04-23 08:00:00,113,164.155604847062,166.108342539529,168.51424946489,5.96253981980732,6.01712582546514,5.99770264783163,498.778196851481,17.7037351717462,0.333028762205154,0.00214542710390947,-0.453169232893738,3.20034626342898,0.32911385004347,0.00231281733694619,0.337857387751375,0.00178744590057732
"20",2013-04-23 12:00:00,113,155.396610456741,156.348207779002,157.126294381832,4.53126687970805,4.88570422824818,5.22025690961041,468.871112617575,14.3499241893466,0.333455965463304,0.00204630933883667,0.173510719430557,2.88133793316704,0.331448009538538,0.00194066530987658,0.335096024998157,0.00237516347974867,2013-04-23 12:00:00,113,162.679056386651,164.076859504132,164.768281200962,6.38548898371969,6.86018163103784,7.28002685125817,491.524197091746,20.2808770704665,0.333807146786552,0.00212784778181145,0.706381420650696,3.07061883530565,0.331017226861586,0.0025895876139589,0.335175626351862,0.00255356430839038,2013-04-23 12:00:00,113,163.243138507215,164.535697024097,165.265915210937,4.74835403947476,4.9949668332236,5.30817957779992,493.04475074225,14.7175651825531,0.333715335127793,0.00215362944457886,0.562340330042118,3.18016109840247,0.331105813393425,0.00202701559161,0.335178851478782,0.00233992024749713
