"a2.date","a2.doy","a2.r.av","a2.g.av","a2.b.av","a2.r.sd","a2.g.sd","a2.b.sd","a2.bri.av","a2.bri.sd","a2.gi.av","a2.gi.sd","a2.gei.av","a2.gei.sd","a2.ri.av","a2.ri.sd","a2.bi.av","a2.bi.sd","b2.date","b2.doy","b2.r.av","b2.g.av","b2.b.av","b2.r.sd","b2.g.sd","b2.b.sd","b2.bri.av","b2.bri.sd","b2.gi.av","b2.gi.sd","b2.gei.av","b2.gei.sd","b2.ri.av","b2.ri.sd","b2.bi.av","b2.bi.sd","c2.date","c2.doy","c2.r.av","c2.g.av","c2.b.av","c2.r.sd","c2.g.sd","c2.b.sd","c2.bri.av","c2.bri.sd","c2.gi.av","c2.gi.sd","c2.gei.av","c2.gei.sd","c2.ri.av","c2.ri.sd","c2.bi.av","c2.bi.sd"
"1",2013-06-06 20:00:00,157,64.6182475864988,91.1276340900561,63.2088187618279,15.4368381516639,15.4657866757213,16.2320726411097,218.954700438383,45.7330159937129,0.420364423490203,0.0303437200096361,54.4282018317856,13.900159115789,0.293362354696257,0.0139339220993684,0.28627322181354,0.023076519056548,2013-06-06 20:00:00,157,63.0581190115986,88.8685073121533,61.8057000126072,20.5414907794641,20.0585395948203,21.9079923229356,213.732326336359,61.346932398147,0.42515438506127,0.0459868202041357,52.8731956001009,14.5615927503724,0.291221527280295,0.0211902242275637,0.283624087658435,0.0317605640448719,2013-06-06 20:00:00,157,69.9864193461755,96.2561647012867,68.4032996411045,17.1630382802877,15.5381785505035,18.8416548923413,234.645883688567,50.0171730043665,0.415376269939231,0.0332463872348749,54.1226104152933,16.3160317182357,0.296307511810359,0.0135689984618463,0.28831621825041,0.0247966784124994
"2",2013-06-07 08:00:00,158,97.0672027341036,109.582761732131,71.4605575207813,23.8297721946055,22.8151247247028,22.0036891020325,278.110521987016,66.8098469601112,0.397989620182105,0.0284475173509244,50.6377632093777,17.0826097026522,0.348992166915431,0.0141547057011069,0.253018212902465,0.0292911040351339,2013-06-07 08:00:00,158,96.8417328542612,110.190431164902,70.9624700579929,28.7680593819353,27.0957197282346,28.0376167245917,277.994634077156,82.3936118755689,0.404346105069723,0.0398959384560265,52.5766594175492,18.4581989838313,0.34857764117446,0.0166270909375045,0.247076253755817,0.0385334674353361,2013-06-07 08:00:00,158,101.705217412534,112.529657706487,75.1434483263752,23.2320090385209,21.007654956677,22.5099823469719,289.378323445397,64.761686577238,0.393011583419348,0.0303436329368267,48.2106496740643,19.7346609834703,0.351410369024155,0.0132699024907414,0.255578047556496,0.0288144674211161
"3",2013-06-07 12:00:00,158,88.4740204259261,103.09891961384,71.0107319955603,19.6851973021599,18.2033155007614,17.7053966840744,262.583672035326,53.5038122644399,0.395488944186222,0.0258947320731331,46.7130868061933,16.4080034821728,0.33628909580169,0.0144955544069189,0.268221960012088,0.0243468499027866,2013-06-07 12:00:00,158,84.7621580307615,99.4787490544629,67.5040027735754,23.8662051058409,22.1797125353036,23.4469685827451,251.7449098588,67.9107963248109,0.401631531167929,0.0362085168992631,46.691337304589,17.356083947957,0.3360032492176,0.0156849496540662,0.262365219614471,0.0325368579686063,2013-06-07 12:00:00,158,96.1794172221001,109.770947777045,77.9865658341268,20.4369444230922,17.0095091264162,20.5307551712958,283.936930833272,55.9147641475287,0.390525544403397,0.0296496103987207,45.3759124978637,19.9438887403382,0.337983974229639,0.0125009840996704,0.271490481366964,0.0255452816740897
"4",2013-06-07 16:00:00,158,106.3289548282,121.5530251611,82.2050897127754,22.2513320274781,20.9985561797983,20.9488848268167,310.087069702075,62.5226983563636,0.39477745680341,0.0235493705307954,54.5720057812238,16.7759829141623,0.342723123685895,0.0125468039104822,0.262499419510694,0.0218546511696283,2013-06-07 16:00:00,158,105.057788073626,120.943567196167,80.9543699571357,27.2161123501525,25.4419306083857,27.0217944324998,306.955725226929,78.221482824247,0.399529798358711,0.0320110327981821,55.8749763615734,18.7270202834786,0.342146632286483,0.0134332571565183,0.258323569354807,0.0292165518060698,2013-06-07 16:00:00,158,117.00593276203,130.467595644425,92.8516077052662,23.2379200701573,19.1607478146064,22.6190697616641,340.325136111721,63.1532915897577,0.386603356087035,0.0253823898701102,51.0776508215533,20.5806501069801,0.343214343714577,0.0115863211518457,0.270182300198388,0.0208088167989363
"5",2013-06-07 20:00:00,158,66.4043902166362,93.5989236063977,61.7170873491811,17.7732849109993,18.3864472870495,17.5593648051298,221.720401172215,52.5222197139665,0.427105257622163,0.0318713481922481,59.076369646978,13.3319465152204,0.297461944497574,0.0154860462168592,0.275432797880263,0.023652562547822,2013-06-07 20:00:00,158,64.8220420448815,91.270683623298,59.9371454236006,23.0371755601674,23.328171662443,23.3829515027595,216.02987109178,68.7054422951219,0.434501650748055,0.0548074274127689,57.782179778114,14.0590055565876,0.295438593610706,0.0254119443482199,0.270059755641239,0.0366882686275325,2013-06-07 20:00:00,158,78.915659562001,105.217497985791,73.1063258380332,16.762766884104,15.7545583191889,17.1237190001655,257.239483385825,48.1607495134171,0.412612717954419,0.0282918335351738,58.4130105715472,15.1402431101608,0.305446370528434,0.0133241456816181,0.281940911517147,0.0203952752389047
"6",2013-06-08 08:00:00,159,101.226242284382,112.350985762539,71.0049667419929,38.4134326066997,38.4225761894278,35.5498230262708,284.582194788913,110.755238845223,0.405908070071736,0.0480615240567137,52.4707624987024,19.0023759039989,0.357111157029191,0.0226875620656294,0.236980772899073,0.0527003969747092,2013-06-08 08:00:00,159,98.9586012355018,110.957009581442,68.9704677256682,42.8673219097319,42.4226015667036,40.6484232298935,278.886078542612,124.614081764457,0.4185646578248,0.0716220852671865,53.9849502017146,18.803963118563,0.35595110580895,0.0345181623230902,0.22548423636625,0.0661431110512116,2013-06-08 08:00:00,159,112.980883322347,121.953636563393,79.7008838106399,34.8807767698874,34.2819554043112,33.3155441652812,314.635403696379,100.884076697393,0.395150289153009,0.0388444390406062,51.2255059937987,19.5502950154523,0.360992943259103,0.0188399154562207,0.243856767587888,0.0434710535145
"7",2013-06-08 12:00:00,159,111.314837143564,124.651282010333,82.9013119545168,29.8907128195658,27.9357585619551,28.7323641914792,318.867431108414,85.3358317108561,0.396522977111883,0.0299211367763532,55.0864149225843,16.5860014890572,0.349412853006251,0.0145827494065535,0.254064169881865,0.03007346414171,2013-06-08 12:00:00,159,107.809237897126,121.547607791225,80.0188319465456,35.1290399700347,32.7100275432754,34.7156155694517,309.375677634897,101.375236457064,0.40284080810419,0.0432416750775062,55.2671457387796,18.9076862769839,0.348918583784094,0.0179952885318907,0.248240608111716,0.0411074718474804,2013-06-08 12:00:00,159,108.986809980712,119.202940745624,81.7318599086892,27.820803325346,23.3512208568923,27.3220887215158,309.921610635025,77.0500334359959,0.390151319113994,0.0308909648233982,47.6872116018458,20.2785291263201,0.351456767167356,0.0131795224818139,0.25839191371865,0.0281808312269333
"8",2013-06-08 16:00:00,159,103.823784465756,121.093561601175,78.4968658420704,21.2580175383781,20.2300322813194,20.1096380454795,303.414211909002,59.8988508873628,0.402008612557685,0.0243492918543199,59.8664728945246,16.5930132388897,0.341998365609617,0.0124395248247875,0.255993021832699,0.0226314321714749,2013-06-08 16:00:00,159,102.222059379728,120.013915153807,76.4924751008573,26.9930296379279,25.2654708265796,26.6091146566836,298.728449634392,77.4397524530094,0.408116396684642,0.0351034400425405,61.3132958270298,18.2111786709147,0.341981730375164,0.0141596139379352,0.249901872940194,0.0320152959998821,2013-06-08 16:00:00,159,111.034394150248,126.16008081252,84.5532971996387,22.1280985003559,18.5785054965343,21.6024710114418,321.747772162406,60.4676081224448,0.395627756096371,0.0268198874287989,56.7324702751532,19.6912756232507,0.344626396030566,0.0115683844811014,0.259745847873063,0.0229395118281509
"9",2013-06-08 20:00:00,159,65.2981242963117,94.1970487012209,62.3721942299554,16.7476089305817,17.19020737047,16.8437600107449,221.867367227488,49.5402590162418,0.429206842928393,0.0309836164306836,60.7237788761748,13.4637390919956,0.292255270360474,0.0142339742313616,0.278537886711133,0.0230015126290758,2013-06-08 20:00:00,159,64.0632643091276,92.4153665532022,61.1202565557236,21.9641211843653,21.9695146072742,22.6911856080429,217.598887418053,65.6113504771094,0.435660098368325,0.0511103550907716,59.6472122415532,14.0635123651037,0.289850710151705,0.023321999292313,0.274489191479969,0.0334687436639587,2013-06-08 20:00:00,159,75.9680412119436,105.034388046583,72.8085402475646,16.8654951690574,15.3208698232957,17.9924322417027,253.810969506091,48.7220341779039,0.418133478589075,0.0303563311366132,61.292194633658,15.7115824410008,0.297648741355041,0.0125928208258213,0.284217780055884,0.0218356544918942
"10",2013-06-09 08:00:00,160,93.8830420096939,112.19172262902,68.1202558431084,21.0168108039784,20.3036098966298,19.4865989148146,274.195020481822,58.9996973754544,0.412862148923576,0.0278026722524319,62.3801474052366,16.4070217062487,0.342118954302267,0.0132432912440943,0.245018896774156,0.0266498531790261,2013-06-09 08:00:00,160,95.2161576525466,114.12173001765,68.6133777735754,26.0200928073904,24.7225772220196,25.5042062226203,277.951265443772,74.6885508815648,0.418076056351025,0.0395511243572022,64.413924609178,18.1942409808652,0.342333074957761,0.0151036831549394,0.239590868691214,0.0368215417929141,2013-06-09 08:00:00,160,101.794886349764,118.020380136234,73.8420188481164,20.53400357033,18.3047892451544,19.9184573812649,293.657285334115,56.6528431669609,0.405598872678329,0.029359253467595,60.4038550745868,19.4090794798068,0.346320941442823,0.0117293100873135,0.248080185878848,0.026461338632132
"11",2013-06-09 12:00:00,160,99.7826371643257,119.014532910655,73.775913696869,21.0897582144683,19.7567982709801,19.4527340207695,292.573083771849,58.5002846914846,0.410030547889026,0.0256459367236475,64.4705149601143,16.384735033005,0.340695358956861,0.0132220877406001,0.249274093154114,0.0237639233553669,2013-06-09 12:00:00,160,98.7292848587998,118.235785426122,72.946860816944,26.0904210914139,24.3495387044268,25.4898927030144,289.911931101866,74.4085330125325,0.414461341225471,0.0362462450918711,64.7954251765003,17.8901505343781,0.340197993985619,0.0146749792111425,0.24534066478891,0.033484525272488,2013-06-09 12:00:00,160,109.808888156449,127.65058351034,82.6085414682976,20.8970724634882,17.3752215598645,20.1725454152808,320.068013135086,56.4728764369422,0.402113643940265,0.0265130648962859,62.8837373959325,19.5203892706382,0.342528476285739,0.0113972055335481,0.255357879773996,0.0224831799878445
"12",2013-06-09 16:00:00,160,94.6993044964187,113.817596001054,57.8966486469221,20.2366713476744,19.8375272588687,19.0819008966994,266.413549144395,57.5560220233542,0.431757025480062,0.0308022435603658,75.0392388587673,15.8827253672276,0.355937838968714,0.0139526739396544,0.212305135551224,0.0308333985474669,2013-06-09 16:00:00,160,91.4906234241049,109.984989599092,54.9099375945537,26.5046543302784,25.7750370262816,25.4803916997374,256.385550617751,76.3624807364243,0.439605800477765,0.0478835718452237,73.569418179526,17.2705052123976,0.357983091024426,0.0185218471080664,0.202411108497809,0.0483024826185211,2013-06-09 16:00:00,160,103.115762103567,119.948839082985,64.4767450377206,20.2023886204609,18.2481969746679,18.7555390987878,287.541346224273,55.2513126246176,0.42119763574513,0.0305316301905113,72.3051710246832,18.243282914442,0.358684254274382,0.0137460650629743,0.220118109980488,0.0280590449777819
"13",2013-06-09 20:00:00,160,68.2912650818874,103.953526626368,66.1115121413685,19.4151174419702,19.8614325719132,20.6464377251466,238.356303849624,58.616985642905,0.44290708391958,0.037217853339836,73.504276029481,14.2850437775507,0.283786032071688,0.0176210659907591,0.273306884008732,0.0267638878519958,2013-06-09 20:00:00,160,66.3591386157337,101.050720184065,64.1059001512859,25.0362679180122,25.1211295207185,26.1475039513739,231.515758951084,75.2245342109236,0.451360690173339,0.0629777695315437,71.6364016011094,14.8429608046883,0.280220157602399,0.030547281534799,0.268419152224262,0.0388783439468294,2013-06-09 20:00:00,160,74.9628714079934,109.437956248932,73.5894431016382,18.4548031964685,17.7854684452114,19.4085338199086,257.990270758563,54.1329580823053,0.429517958032706,0.0345896810896085,70.3235979882321,15.829956887285,0.288212441746618,0.0165816541858923,0.282269600220676,0.024098057066192
"14",2013-06-10 08:00:00,161,93.451510384643,110.304847763768,63.5669192624947,24.7471624041051,24.4102341513809,22.9525182296889,267.323277410906,70.611189538972,0.418213082265209,0.0319259707937514,63.5912658803989,15.8187415850496,0.349823944202104,0.0139323592338358,0.231962973532687,0.0331365598979305,2013-06-10 08:00:00,161,94.8764734619264,112.28110816944,64.100014183056,30.4761361680817,29.6928867637866,29.2273502995265,271.257595814423,88.0814660204707,0.425146309097042,0.0483350279096206,65.5857286938981,17.0582126813371,0.350253360673226,0.0192132777567722,0.224600330229732,0.0471343240154743,2013-06-10 08:00:00,161,101.490740740741,116.307789496814,68.8206377108816,23.0845842776854,22.0304779908021,22.0701098868637,286.619167948436,65.4587022688278,0.410433306754752,0.0310272797573707,62.3042005420054,17.847996892294,0.354433663138515,0.0128170505388516,0.235133030106732,0.0309978623428176
"15",2013-06-10 12:00:00,161,88.6081783555453,106.16624212468,60.1873228302444,19.8665328924323,18.9945302063444,18.1985228822963,254.961743310469,55.49443913823,0.420520161236048,0.0285427596924965,63.5369830635695,14.4920905774212,0.347528313695359,0.0141695135867719,0.231951525068593,0.0282985056194098,2013-06-10 12:00:00,161,85.3646700075643,102.715708522441,57.0630909606657,25.4020133820793,24.1906594350842,24.0406285935447,245.143469490671,72.288270662915,0.428810479616426,0.0456251157231581,63.0036560766515,15.6312134994078,0.348362718537997,0.017990265102116,0.222826801845578,0.044132995622096,2013-06-10 12:00:00,161,97.9816401767621,114.104561878952,67.5664322859445,19.2723249524033,16.5797909075842,18.6290056302152,279.652634341659,52.7272403091603,0.41204998130907,0.0295924913153106,62.6610512951976,17.0501702965537,0.350145064073075,0.0119759638207466,0.237804954617856,0.0275508686645678
"16",2013-06-10 16:00:00,161,97.7559988182029,116.482404797458,70.3730007266455,21.6115530798385,20.4730429054917,20.4018230583338,284.611404342306,60.8879379111656,0.413139010275687,0.0273335648631735,64.8358100500667,16.0430022747237,0.343293830870917,0.0131347417185704,0.243567158853396,0.0259570863869304,2013-06-10 16:00:00,161,99.1357476046394,118.274678517398,70.9892208774584,27.2123873322125,25.6800337611706,26.588335740832,288.399646999496,78.0200826542954,0.417665327239784,0.0388354980401793,66.4243885526979,17.8142569601563,0.343643223023466,0.0149121299698256,0.23869144973675,0.0366845952596917,2013-06-10 16:00:00,161,102.748535120486,119.84280011719,73.8761993701018,20.7601381564253,18.0623928088008,20.030216431944,296.467534607779,56.9806090591364,0.408084266047122,0.0289138468729083,63.0608657437926,18.6760918075826,0.346230735570047,0.0119993686642865,0.245684998382832,0.0256798737366859
"17",2013-06-10 20:00:00,161,73.1293189494782,93.1571390927312,71.6752772831442,18.2870900434093,17.7549747804407,18.6492951299602,237.961735325354,53.1841405221793,0.394962187411343,0.0263613522993603,41.5096819528399,14.2099549377321,0.305775491643322,0.0142840991811772,0.299262320945335,0.0231157171304242,2013-06-10 20:00:00,161,71.4710508068583,90.7524426374181,69.6677146369138,23.3569034358467,22.6537327747445,24.3628897118377,231.89120808119,69.0559822973436,0.399150125852705,0.041450612881992,40.366119831064,15.5550259184332,0.305196365163293,0.0209857077402936,0.295653508984002,0.0314698104835233,2013-06-10 20:00:00,161,82.9448350789814,101.039423569911,78.9298017529725,18.1308579332669,15.9025453112032,19.3965238899029,262.914060401865,51.6901216149634,0.387995133092289,0.0281651908738681,40.2042103078688,17.4365050144322,0.31429691314288,0.0122194286967287,0.297707953764831,0.0227419167340187
"18",2013-06-11 08:00:00,162,102.049371970647,116.44106585325,66.9275111192737,39.9631545571233,40.1281362904178,36.610386244077,285.41794894317,114.949784585926,0.422611123665033,0.0553097259161131,63.9052486165787,20.3611006411348,0.35927302821973,0.0243725416595652,0.218115848115237,0.0597601737942631,2013-06-11 08:00:00,162,98.8124842410489,113.365922844176,65.2739614851236,45.7027247482284,45.4280610338095,42.6886710106666,277.452368570348,132.371810592862,0.43601469431833,0.084139468746311,62.6453999621785,19.9811182025,0.356470745921043,0.0400913169204534,0.207514559760627,0.0751034861137257,2013-06-11 08:00:00,162,111.744787470397,124.619369369369,72.696776044337,36.680117888328,36.4239237549478,34.667776135963,309.060932884104,106.033260495713,0.41442129071863,0.0487128247066728,64.7971752240045,20.6934923398306,0.363835945487106,0.021289719322068,0.221742763794264,0.0534618857626053
"19",2013-06-11 12:00:00,162,110.894732219144,124.223846749659,79.268826906646,31.5251639566295,29.7597667412687,29.9882445338022,314.387405875448,90.0406725761632,0.401590864212153,0.0315655230193948,58.2841343735277,15.8322868148966,0.353532535594719,0.0161084085107746,0.244876600193129,0.0346882930363188,2013-06-11 12:00:00,162,107.242514498235,121.065281454866,76.3839904815935,36.0077114782286,34.0148763419012,35.1343116229545,304.691786434695,104.008553640891,0.408406922800843,0.0454651645748381,58.5040579299042,17.6818639257621,0.352971419995872,0.0189305785727177,0.238621657203285,0.0455347478745551,2013-06-11 12:00:00,162,107.95300178227,119.260937767035,77.6112209770746,27.7560267705522,24.0690492108511,27.2735988046328,304.82516052638,77.8092266074628,0.397174886949781,0.0314944110553088,52.957652774726,18.5283356772251,0.354349733129577,0.0128909368924684,0.248475379920642,0.0308155356196373
"20",2013-06-11 16:00:00,162,102.329609607691,120.690848258846,73.4874593757237,21.9147568275104,20.7035554528864,20.5264190924017,296.50791724226,61.5473685656897,0.410495980149536,0.0256062678035529,65.5646275342761,16.048340914115,0.345008004978605,0.0132125947213082,0.244496014871859,0.0244710813829759,2013-06-11 16:00:00,162,102.363149268785,121.58074098588,73.1158361699445,28.1181311730253,26.5614084059074,27.2963522090024,297.059726424609,80.4969499016078,0.416567715868137,0.0377509457477818,67.6824965330308,18.1260269655875,0.344545700172344,0.0153849750461072,0.238886583959519,0.0356178983091905,2013-06-11 16:00:00,162,108.345162235406,125.318190141361,78.8152176566811,21.521801635786,18.2658351198558,20.738207048849,312.478570033448,58.7181352071036,0.404735127923077,0.0275968508900779,63.4760003906345,19.0022498252012,0.346308610872542,0.0116457130918352,0.248956261204381,0.0239086455670763
"21",2013-06-11 20:00:00,162,63.7786206511063,93.9065342202135,55.4238898692837,18.7958256660225,19.2681781265087,18.1725276062658,213.109044740604,54.9945395274378,0.447670108970274,0.0382489372051436,68.6105579200371,13.4775872609825,0.296669748943705,0.0172589935286019,0.255660142086021,0.0295120747891974,2013-06-11 20:00:00,162,62.3894667170953,91.5712540973273,53.8052745209279,24.1340148672913,24.261714727122,24.0239203281947,207.76599533535,71.3689989303242,0.457414375838205,0.0669972633842637,66.9477669566314,14.3162805349733,0.294526966899895,0.0289735053899071,0.2480586572619,0.0455286730072827,2013-06-11 20:00:00,162,75.6463048414268,106.879342757392,66.3605922996167,17.8736476845456,16.6236391034487,18.3922717751228,248.886239898435,51.3690673161626,0.435001462074176,0.0354635552891199,71.7517883737396,15.2159844640022,0.302078036916686,0.0148936787221709,0.262920501009138,0.0270593419433112
"22",2013-06-12 08:00:00,163,104.428816685698,117.20020282194,64.862400485495,40.0805033940251,40.1525502833959,36.1979633695685,286.491419993133,114.657819293024,0.423390797443738,0.0530724400828305,65.1091884726869,19.7120288331967,0.367498126364735,0.0249956704637768,0.209111076191528,0.0616000566645018,2013-06-12 08:00:00,163,100.771794629349,114.176295385779,63.5634691754917,45.8835907026675,45.5350045697391,42.298783736371,278.51155919062,132.271017751846,0.436988702379077,0.0821153019816266,64.0173269667171,19.5638661763944,0.363453408041705,0.0403527626689919,0.199557889579218,0.0764275891423155,2013-06-12 08:00:00,163,114.377151541786,125.612930003174,71.2043690031495,37.2403365652787,36.9733339219283,34.7751397324375,311.194450548109,107.260434574854,0.414752555471394,0.0475867870095353,65.6443394614126,20.2378175622901,0.37057476631585,0.0222238930880647,0.214672678212756,0.0550202068710803
"23",2013-06-12 12:00:00,163,113.041338944208,125.66117556874,80.003872781136,34.1688212325073,32.2745538080611,32.2105585747634,318.706387294084,97.3811036885618,0.401607869188561,0.0337136662957645,58.2771394121358,16.0629039480439,0.355814483920715,0.0186069816405055,0.242577646890724,0.0382300683313769,2013-06-12 12:00:00,163,108.315754223399,121.754774962179,76.3989693645991,38.4938215405874,36.5217410873235,37.3128722035167,306.469498550177,111.216957997665,0.410145322699203,0.0499809242202984,58.7948263363591,17.792261152468,0.354654179511636,0.0211957171311041,0.235200497789161,0.0497544999465891,2013-06-12 12:00:00,163,108.477318782197,119.423807954296,77.4176249420152,29.4559252413717,25.8502966366982,28.7344367698217,305.318751678508,82.8274181999591,0.3979347001181,0.0339322155545115,52.9526721843795,18.5441490545328,0.355649307633099,0.0136883487800128,0.246415992248801,0.0332969197901489
"24",2013-06-12 16:00:00,163,116.584765996183,127.919941229548,96.5226178403456,41.6999063546661,40.6564207176377,37.6495222080439,341.027325066077,118.862752530127,0.380574586763195,0.0264216857142146,42.7324986225675,16.4603305066226,0.340529077645839,0.0180042426526164,0.278896335590966,0.0284000235724932,2013-06-12 16:00:00,163,113.794999684821,126.162364473021,92.6267886409481,41.9942812713822,40.9676160827712,41.4608215425937,332.58415279879,123.444899452072,0.390960826142818,0.051073647496038,45.9029406202723,17.6252494751668,0.342125893509837,0.0229635604889188,0.266913280347345,0.0446079714902068,2013-06-12 16:00:00,163,136.992523010816,146.341475621963,115.478142776923,31.4640487438851,27.8179839008523,31.624254754058,398.812141409702,89.5925575510109,0.370766537162566,0.0244553097769233,40.2122854561879,19.9770608388041,0.3432989053112,0.0106966705862174,0.285934557526234,0.0224787424764552
"25",2013-06-12 20:00:00,163,68.7227567813595,97.492537909337,56.4711058586794,21.6793530211302,21.9104394569906,20.1872134232825,222.686400549376,62.3268827044895,0.44565152600465,0.0399983467037077,69.791213178635,14.3680038638231,0.305942931754708,0.0187224257640329,0.248405542240642,0.0342055472552174,2013-06-12 20:00:00,163,67.6377647503782,95.6832529626828,55.1904154059506,26.7707354549908,27.0114073191723,26.3587051706056,218.511433119012,79.0219070846604,0.456282290722098,0.0710037460815213,68.5383257690368,15.043940909575,0.304045626879298,0.0295124700695616,0.239672082398604,0.0510323614073162,2013-06-12 20:00:00,163,83.7317805610489,112.882449522693,68.298286090969,19.490518898804,18.5717062799828,19.8509305192513,264.912516174711,56.2895442412096,0.431693322463205,0.035277404562609,73.734832393369,15.6601160580895,0.314699105971235,0.0137025311481939,0.253607571565559,0.0299220617998882
"26",2013-06-13 08:00:00,164,103.789368616898,116.754537542022,62.3887154344302,39.7834966179139,39.7706007925016,35.5592084543717,282.93262159335,113.318751039175,0.42718045361091,0.0526825857020257,67.330991032715,19.5746477638734,0.370016966949262,0.0250004134302904,0.202802579439828,0.0620538564757421,2013-06-13 08:00:00,164,100.025758005547,113.722492750883,60.9544172339889,44.4365415664588,44.1742320548201,40.6854733979418,274.702667990419,127.877800500033,0.439893204440613,0.0786145487252473,66.464810262229,19.3013673274605,0.366321197685389,0.0375821852301673,0.193785597873998,0.0753986289688747,2013-06-13 08:00:00,164,114.227166190581,125.862301325716,68.9858639126932,36.5487796768802,36.3704702443466,33.7837418107486,309.07533142899,105.007788885164,0.418163840795761,0.0462762350129345,68.5115725481579,19.7121265090045,0.372729590441872,0.0212274388681371,0.209106568762368,0.0549659298102029
"27",2013-06-13 12:00:00,164,113.350802104877,126.615764215502,78.0049906973402,34.6261080844105,32.5627312194207,32.3381872025326,317.971557017719,98.1763233248835,0.406001998970003,0.0346191013695644,61.8757356287879,16.026073373453,0.357778754330798,0.0199017934304114,0.236219246699199,0.0407111030096281,2013-06-13 12:00:00,164,108.262591401916,122.277176311145,74.5459688603127,38.408837271576,36.3756707465808,37.2060762346997,305.085736573374,110.886762943522,0.414342555098931,0.0514367485490971,61.7457923600605,17.7811042046298,0.356244751975845,0.0220477618510633,0.229412692925224,0.0517847338582741,2013-06-13 12:00:00,164,108.281537635196,120.056776288484,75.2522705632462,29.2583359063391,25.7195987951066,28.528885603778,303.590584486926,82.2722612863898,0.402490706309787,0.0345230598990734,56.5797443785249,18.3030455921552,0.357128184563967,0.0140522869676627,0.240381109126246,0.0346607987842348
